z,y,x,lshifty,lshiftx,rshiftx,rshifty,xshiftmax,yshiftmax,elbowangle,prjelbowangle
1214.4,-562.81,-547.96,-101.38,-265.86,-198.73,-77.55,-77.55,-198.73,25.12,6.82
1314.78,-561.5,-549.38,-118.05,-256.66,-181.21,-66.29,-66.29,-181.21,25.93,14.18
1415.1,-563.34,-553.15,-121.73,-278.92,-242.92,-60.07,-60.07,-242.92,30.41,18.06
1515.34,-563.24,-555.61,-101.43,-296.6,-207.15,-34.01,-34.01,-207.15,24.9,8.13
1113.93,-462.26,-555.18,-70.21,-196.32,-139.31,-59.54,-59.54,-139.31,27.46,16.34
1214.2,-461.1,-557.58,-68.45,-194.87,-123,-53.11,-53.11,-123,27.26,18.62
1314.35,-460.62,-560.05,-59.15,-224.59,-142.24,-27.25,-27.25,-142.24,27.37,18.54
1415.05,-461.78,-562.77,-95.46,-194.38,-116.09,-63,-63,-116.09,28.49,16.51
1515.26,-461.67,-565.47,-117.44,-230.92,-153.88,-56.04,-56.04,-153.88,26.45,13.54
1615.05,-462.37,-569.19,-115.91,-270.64,-185.99,-38.62,-38.62,-185.99,25.72,8.11
1013.41,-361.35,-562.68,-64.47,-171.49,-90.72,-60.07,-60.07,-90.72,34.03,28.95
1113.45,-361.05,-565.88,-47.14,-128.45,-69.81,-39.44,-39.44,-69.81,26.63,18.12
1213.98,-362.53,-568.49,-62.44,-146.67,-84.93,-60.17,-60.17,-84.93,35.69,30.36
1314.93,-361.28,-570.83,-55.37,-128.08,-66.86,-42.66,-42.66,-66.86,29.04,18.55
1414.51,-363.19,-576.49,-90.36,-159.87,-93.5,-46.75,-46.75,-93.5,26.79,14.47
1514.49,-361.5,-576.67,-63.9,-172.19,-52.09,-27.68,-27.68,-52.09,25.94,13.74
1213.65,-260.31,-578.48,-15.66,-83.42,-18.89,-17.79,-15.66,-18.89,31.15,24.86
1314.76,-262.29,-581.96,-11.86,-87.27,-15.95,-2.97,-2.97,-15.95,28.07,17.47
1414.24,-261.87,-585.36,-48.37,-127.02,-56.68,-33.66,-33.66,-56.68,28.87,18.29
981.03,-148.06,-554.28,-0.7,-88.16,20.41,-6.38,-0.7,20.41,44.58,41.93
1112.7,-161.77,-587.57,-0.27,-86.03,15.87,-1.44,-0.27,15.87,46.86,44.62
1180.75,-149.41,-562.91,15.11,-69.91,56.19,21.28,21.28,56.19,34.37,29.43
1217.96,-552.43,-447.44,-33.22,-224.82,-172.85,-11.64,-11.64,-172.85,25.35,13.13
1318.39,-551.03,-449.44,-45.5,-226.19,-150.85,-23.33,-23.33,-150.85,24.9,13.99
1418.37,-553,-453.42,-84.21,-233.24,-137.92,-44.86,-44.86,-137.92,23.7,13.92
1519.32,-552.55,-454,-86.75,-242.89,-180.09,-18.28,-18.28,-180.09,24.75,12.72
1617.99,-552.66,-460.82,-89.78,-278.89,-206.91,-20.62,-20.62,-206.91,26.39,7.58
1043.64,-404.01,-473.11,1.94,-56.7,-14.18,-2.95,1.94,-14.18,31.1,25.38
1217.27,-450.96,-456.7,-40.82,-168.44,-121.09,-41.46,-40.82,-121.09,26.75,17.01
1318.7,-452,-460.84,-39.03,-147.61,-67.31,-33.44,-33.44,-67.31,24.28,10.13
1418.77,-453.38,-463.54,-44.84,-197.17,-129.76,-23.07,-23.07,-129.76,26.39,13.46
1518.93,-452.96,-467.38,-81.73,-199.24,-121.19,-32,-32,-121.19,26.75,6.27
1619.5,-453.61,-469.37,-89.02,-260.93,-193.55,-11,-11,-193.55,27.32,12.56
1117.45,-351.4,-465.71,-5.29,-74.36,-28.96,-3.9,-3.9,-28.96,37.66,33.57
1217.41,-351.63,-469.39,-23.31,-112.52,-30.13,-17.49,-17.49,-30.13,27.08,16.93
1318.05,-351.95,-471.59,-20.05,-116.82,-49.34,-0.92,-0.92,-49.34,29.43,20.68
1418.3,-353.27,-476.25,-51.75,-112.69,-56.87,-24.06,-24.06,-56.87,27.88,6.47
1518.38,-352.23,-478.72,-72.98,-147.88,-84.7,-39,-39,-84.7,26.62,14.61
1619.17,-353.69,-481.42,-72.04,-192.73,-113.04,-1.07,-1.07,-113.04,26.05,6.85
1117.4,-251.39,-476.43,-7.13,-56.24,21.25,-1.73,-1.73,21.25,39.39,35.48
1217.78,-252.09,-479.58,2.47,-38.48,37.52,7.54,7.54,37.52,35.54,31.04
1317.3,-250.93,-482.08,7.73,-68.46,40.97,23.47,23.47,40.97,28.59,19.13
1417.92,-252.11,-485.88,-27.66,-71.02,0.28,-8.86,-8.86,0.28,31.58,26.17
1518.57,-253.15,-489.88,-76.71,-82.44,-40.49,-18.52,-18.52,-40.49,26.58,10.38
1618.35,-252.68,-492.26,-88.37,-118.04,-47.86,-25.09,-25.09,-47.86,25.63,5.6
1084.01,-138.06,-459.14,4.47,-61.25,41.04,14.48,14.48,41.04,68.76,67.5
1184.18,-138.72,-462.34,-11.84,-38.59,44.59,-2.15,-2.15,44.59,61.12,60.34
1284.61,-139.67,-466.67,15.92,-52.92,42.69,8.83,15.92,42.69,41.49,38.51
1384.62,-139.04,-469.13,3.83,-21.01,67.18,24.28,24.28,67.18,35.04,29.09
1222.11,-540.72,-346.14,-22.65,-182.51,-127.28,-13.93,-13.93,-127.28,23.48,7.27
1322.12,-543.08,-349.75,-77.33,-216.72,-157.31,-32.68,-32.68,-157.31,26.62,15.83
1422.34,-543.09,-352.48,-45.78,-240.81,-191.86,13.46,13.46,-191.86,26.36,14.38
1522.77,-543.67,-356.35,-99.58,-256.55,-193.71,-55.77,-55.77,-193.71,23.93,8.4
1623.25,-543.01,-357.8,-44.87,-268.28,-221.7,43.06,43.06,-221.7,26.32,10.67
1123.24,-439.74,-353.57,-30.94,-99.73,-55.71,-27.37,-27.37,-55.71,23.6,12.21
1221.13,-440.61,-357.63,-22.91,-141.6,-80.42,-21.39,-21.39,-80.42,25.16,14.05
1321.73,-441.27,-361.1,-0.99,-115.49,-54.06,8.02,8.02,-54.06,27.75,19.77
1422.37,-441.77,-362.26,-27.39,-157.74,-102.28,-0.45,-0.45,-102.28,25.09,12.58
1522.67,-443.03,-366.12,-34.21,-192.73,-127.53,13.69,13.69,-127.53,26.26,14.31
1623.09,-442.82,-368.58,-41.5,-214.01,-138.77,21.92,21.92,-138.77,24.79,7.6
1121.05,-340.5,-365.46,-14.22,-49.02,2.11,0.87,0.87,2.11,37.86,34.25
1220.27,-336.06,-364.98,-4.46,-23.43,5.29,-5.36,-4.46,5.29,65.15,64.34
1320.56,-338.91,-370.36,-11.34,-41.01,24.22,-12.34,-11.34,24.22,27.53,20.42
1421.83,-342.02,-374.23,-25.07,-93.09,-11.65,-12.19,-12.19,-11.65,29.93,19.78
1521.45,-340.28,-375.86,-19.58,-104.02,-14.13,6.71,6.71,-14.13,24.19,12.03
1622.49,-342.76,-381.02,-64.79,-137.14,-84.3,20.5,20.5,-84.3,25.58,9.74
1321.53,-242.11,-382.57,8.89,-21.89,34.83,21.04,21.04,34.83,38.02,34.19
1421.56,-240.9,-384.2,7.04,-10.77,65.57,19.99,19.99,65.57,34.12,28.96
1521.89,-242.26,-388.33,-27.53,-52.95,-5.46,15.9,15.9,-5.46,28.11,17.36
1621.97,-241.92,-390.85,-44.86,-112.56,-45.93,36.5,36.5,-45.93,25.85,7.57
1218.86,-138.14,-388.54,5.54,-12.8,75.67,11.11,11.11,75.67,77.99,77.83
1289.23,-141.44,-366.19,-7.53,-12.36,110.51,23.1,23.1,110.51,59.94,58.99
1420.98,-141.88,-396.41,3.84,-22.17,55.77,28.24,28.24,55.77,55.02,53.47
1519.11,-137.36,-397.83,-1.79,-17.59,99.26,33.73,33.73,99.26,38,33.76
1119.68,-41.03,-397.25,-8.25,-36.21,44.01,-7.6,-7.6,44.01,110.61,110.5
1218.7,-40.78,-400.43,16.24,-12.56,77.62,21.25,21.25,77.62,100.5,100.26
1320.11,-40.91,-404.04,26.59,17.18,103.31,37.08,37.08,103.31,84.87,84.68
1224.98,-530.53,-246.82,-19.29,-194.62,-137.44,-6.11,-6.11,-137.44,22.31,9.94
1325.21,-532.27,-250.23,-46.19,-209.94,-167.07,-13.8,-13.8,-167.07,24.63,7.76
1426.11,-532.56,-251.6,-2.85,-211.21,-163.28,60.68,60.68,-163.28,24.96,9.99
1492.77,-524.72,-269.14,-21.89,-225.86,-182.44,40.31,40.31,-182.44,24.86,11.35
1626.42,-534.82,-257.64,-87.99,-296.89,-252.99,-12.64,-12.64,-252.99,25.22,8.33
1124.78,-430.16,-254.49,-15.64,-76.27,-49.44,-11.1,-11.1,-49.44,34.02,30.82
1224.98,-430.79,-257.82,-13.22,-111.61,-55.01,3.12,3.12,-55.01,29.33,23.15
1324.86,-431.75,-261.5,-10.59,-148.3,-84.06,-0.84,-0.84,-84.06,23.71,6.98
1424.48,-429.9,-263.05,-24.32,-113.68,-63.6,-3.71,-3.71,-63.6,24.27,10.35
1525.69,-432.67,-266.68,-23.48,-186.04,-75.58,19.68,19.68,-75.58,23.77,3.76
1626.06,-432.52,-268.31,-63.83,-219.36,-155.23,32.06,32.06,-155.23,25.63,8.15
1193.78,-329.98,-242.02,-15.15,-25.45,27.12,-6.86,-6.86,27.12,43.28,41.07
1324.83,-331.28,-271.45,-4.03,-33.75,30.23,4.11,4.11,30.23,28.7,22.28
1425.16,-330.79,-273.5,-30.41,-21.89,35.56,-7.76,-7.76,35.56,23.91,9.71
1525.35,-331.27,-277.38,-20.73,-66.99,12.14,16.2,16.2,12.14,24.41,7.57
1625.92,-331.69,-279.56,-37.88,-124.53,-51.58,13.16,13.16,-51.58,24.5,9.62
1023.56,-229.56,-273.1,3.74,-26.94,39.42,13.22,13.22,39.42,73.75,72.89
1123.85,-229.81,-275.12,-9.1,-15.12,23.86,2.28,2.28,23.86,85.69,85.34
1193.1,-229.34,-251.62,-5.06,1.78,50.85,5.24,5.24,50.85,60.27,59.58
1293.62,-230.16,-256.04,-3.47,-15.6,21.48,5.98,5.98,21.48,70.52,70.16
1423,-227.3,-283.33,2.12,29.78,71.69,19.54,19.54,71.69,50.6,49.41
1524.88,-231.19,-287.85,-4.53,-7.58,42.83,24.04,24.04,42.83,26.75,15.36
