"datagroup"	"dataset"	"subjectid"	"sessionid"	"scope type"	"scope"	"BASEYMax"	"BASEYMin"	"BASEXMax"	"BASEXMin"	"BASEYMean"	"BASEXMean"	"BASEZMean"	"BASEZMax"	"BASEZMin"	"BASEQ2Mean"	"BASEQ3Max"	"BASEQ0Mean"	"BASEQ1Mean"	"BASEQ2Min"	"BASEQ2Max"	"BASEQ1Min"	"BASEQ1Max"	"BASEQ0Min"	"BASEQ3Mean"	"BASEQ0Max"	"BASEQ3Min"	"Rot0Mean"	"Rot0Min"	"Rot0Max"	"Rot1Mean"	"Rot1Max"	"Rot1Min"	"Rot2Mean"	"Rot2Min"	"Rot2Max"	"Rot3Max"	"Rot3Mean"	"Rot3Min"	"Rot4Min"	"Rot4Max"	"Rot4Mean"	"Rot5Max"	"Rot5Min"	"Rot5Mean"	"TCPUR5eFitXMean"	"TCPUR5eFitXMax"	"TCPUR5eFitZMean"	"TCPUR5eFitXMin"	"TCPUR5eFitYMean"	"TCPUR5eFitYMax"	"TCPUR5eFitYMin"	"TCPUR5eFitZMax"	"TCPUR5eFitZMin"	"TCPPZMean"	"TCPPYMean"	"TCPPXMax"	"TCPPXMin"	"TCPPXMean"	"TCPPYMax"	"TCPPYMin"	"TCPPZMax"	"TCPPZMin"	"TCPQ1Mean"	"TCPQ0Min"	"TCPQ2Mean"	"TCPQ1Max"	"TCPQ1Min"	"TCPQ0Mean"	"TCPQ2Max"	"TCPQ2Min"	"TCPQ3Max"	"TCPQ3Mean"	"TCPQ0Max"	"TCPQ3Min"	"TCPUR5eXMax"	"TCPUR5eYMean"	"TCPUR5eXMin"	"TCPUR5eZMean"	"TCPUR5eZMax"	"TCPUR5eZMin"	"TCPUR5eYMax"	"TCPUR5eYMin"	"TCPUR5eXMean"	"TCPUR5ePZMax"	"TCPUR5ePXMax"	"TCPUR5ePZMean"	"TCPUR5ePYMean"	"TCPUR5ePYMin"	"TCPUR5ePYMax"	"TCPUR5ePXMean"	"TCPUR5ePXMin"	"TCPUR5ePZMin"	"Temperature0Mean"	"Temperature0Min"	"Temperature0Max"	"Temperature1Max"	"Temperature1Mean"	"Temperature1Min"	"Temperature2Min"	"Temperature2Mean"	"Temperature2Max"	"Temperature3Max"	"Temperature3Min"	"Temperature3Mean"	"Temperature4Min"	"Temperature4Max"	"Temperature4Mean"	"Temperature5Mean"	"Temperature5Max"	"Temperature5Min"	"TRIAL_INFO/cycle_nr"
"kirkdefault"	"20201016001_kirkdefault.r3d"	"-"	"20201016"	"Pose5e"	"0"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"192,7982113973"	"192,7982113973"	"192,7982113973"	"-72,8942391134"	"-72,8942391134"	"-72,8942391134"	"108,5586998394"	"108,5586998394"	"108,5586998394"	"-125,6372763954"	"-125,6372763954"	"-125,6372763954"	"-89,7266562561"	"-89,7266562561"	"-89,7266562561"	"-77,1102002114"	"-77,1102002114"	"-77,1102002114"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"240,0011421209"	"500,0001179764"	"240,0011421209"	"250,0007791495"	"250,0007791495"	"250,0007791495"	"500,0001179764"	"500,0001179764"	"240,0011421209"	"23,75"	"23,75"	"23,75"	"24,1875"	"24,1875"	"24,1875"	"23,875"	"23,875"	"23,875"	"26,9375"	"26,9375"	"26,9375"	"28"	"28,0625"	"28,049744898"	"28,375"	"28,375"	"28,375"	"1"
"kirkdefault"	"20201016001_kirkdefault.r3d"	"-"	"20201016"	"Pose5e"	"1"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"185,0579495188"	"185,0579495188"	"185,0579495188"	"-76,2926918397"	"-76,2926918397"	"-76,2926918397"	"113,173960184"	"113,173960184"	"113,173960184"	"-126,8540331564"	"-126,8540331564"	"-126,8540331564"	"-89,7333382894"	"-89,7333382894"	"-89,7333382894"	"-84,851828621"	"-84,851828621"	"-84,851828621"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"240,0011371152"	"500,0001219285"	"240,0011371152"	"177,7785678326"	"177,7785678326"	"177,7785678326"	"500,0001219285"	"500,0001219285"	"240,0011371152"	"23,75"	"23,75"	"23,75"	"24,1875"	"24,1875"	"24,1875"	"23,875"	"23,875"	"23,875"	"26,9375"	"26,9375"	"26,9375"	"28,0625"	"28,0625"	"28,0625"	"28,3414583333"	"28,375"	"28,3125"	"1"
"kirkdefault"	"20201016001_kirkdefault.r3d"	"-"	"20201016"	"Pose5e"	"2"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"176,836406525"	"176,836406525"	"176,836406525"	"-78,6919084408"	"-78,6919084408"	"-78,6919084408"	"116,2826771164"	"116,2826771164"	"116,2826771164"	"-127,5634795626"	"-127,5634795626"	"-127,5634795626"	"-89,7379726547"	"-89,7379726547"	"-89,7379726547"	"-93,0747902921"	"-93,0747902921"	"-93,0747902921"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"240,0011371152"	"500,0001219285"	"240,0011371152"	"105,5563422935"	"105,5563422935"	"105,5563422935"	"500,0001219285"	"500,0001219285"	"240,0011371152"	"23,75"	"23,75"	"23,75"	"24,1875"	"24,1875"	"24,1875"	"23,875"	"23,875"	"23,875"	"26,9375"	"26,9375"	"26,9375"	"28,0625"	"28,0625"	"28,0625"	"28,375"	"28,375"	"28,375"	"1"
"kirkdefault"	"20201016001_kirkdefault.r3d"	"-"	"20201016"	"Pose5e"	"3"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"168,4249549657"	"168,4249549657"	"168,4249549657"	"-79,9205114219"	"-79,9205114219"	"-79,9205114219"	"117,8248537831"	"117,8248537831"	"117,8248537831"	"-127,8770016603"	"-127,8770016603"	"-127,8770016603"	"-89,7403191937"	"-89,7403191937"	"-89,7403191937"	"-101,4871138543"	"-101,4871138543"	"-101,4871138543"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"240,0011371152"	"500,0001219285"	"240,0011371152"	"33,3340657325"	"33,3340657325"	"33,3340657325"	"500,0001219285"	"500,0001219285"	"240,0011371152"	"23,800245098"	"23,75"	"23,8125"	"24,1875"	"24,1875"	"24,1875"	"23,875"	"23,875"	"23,875"	"26,9375"	"26,9375"	"26,9375"	"28,0625"	"28,0625"	"28,0625"	"28,324754902"	"28,375"	"28,3125"	"1"
"kirkdefault"	"20201016001_kirkdefault.r3d"	"-"	"20201016"	"Pose5e"	"4"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"160,1760604397"	"160,1760604397"	"160,1760604397"	"-79,870644935"	"-79,870644935"	"-79,870644935"	"117,7629120503"	"117,7629120503"	"117,7629120503"	"-127,864881504"	"-127,864881504"	"-127,864881504"	"-89,7402579874"	"-89,7402579874"	"-89,7402579874"	"-109,7359713254"	"-109,7359713254"	"-109,7359713254"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"240,0011371152"	"500,0001219286"	"240,0011371152"	"-38,8880813068"	"-38,8880813068"	"-38,8880813068"	"500,0001219286"	"500,0001219286"	"240,0011371152"	"23,8125"	"23,8125"	"23,8125"	"24,1875"	"24,1875"	"24,1875"	"23,875"	"23,875"	"23,875"	"26,9375"	"26,9375"	"26,9375"	"28,0625"	"28,0625"	"28,0625"	"28,375"	"28,375"	"28,375"	"1"
"kirkdefault"	"20201016001_kirkdefault.r3d"	"-"	"20201016"	"Pose5e"	"5"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"152,4222399296"	"152,4222399296"	"152,4222399296"	"-78,5469776509"	"-78,5469776509"	"-78,5469776509"	"116,0984654097"	"116,0984654097"	"116,0984654097"	"-127,5240660243"	"-127,5240660243"	"-127,5240660243"	"-89,7377910693"	"-89,7377910693"	"-89,7377910693"	"-117,4888612666"	"-117,4888612666"	"-117,4888612666"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"240,0011371152"	"500,0001219285"	"240,0011371152"	"-111,1103382576"	"-111,1103382576"	"-111,1103382576"	"500,0001219285"	"500,0001219285"	"240,0011371152"	"23,8125"	"23,8125"	"23,8125"	"24,1875"	"24,1875"	"24,1875"	"23,875"	"23,875"	"23,875"	"26,9375"	"26,9375"	"26,9375"	"28,0625"	"28,0625"	"28,0625"	"28,375"	"28,375"	"28,375"	"1"
"kirkdefault"	"20201016001_kirkdefault.r3d"	"-"	"20201016"	"Pose5e"	"6"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"145,4009208354"	"145,4009208354"	"145,4009208354"	"-76,0644682841"	"-76,0644682841"	"-76,0644682841"	"112,8716142535"	"112,8716142535"	"112,8716142535"	"-126,7796963054"	"-126,7796963054"	"-126,7796963054"	"-89,733043274"	"-89,733043274"	"-89,733043274"	"-124,5087431385"	"-124,5087431385"	"-124,5087431385"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"240,0011371152"	"500,0001219285"	"240,0011371152"	"-183,332555444"	"-183,332555444"	"-183,332555444"	"500,0001219285"	"500,0001219285"	"240,0011371152"	"23,7794117647"	"23,75"	"23,8125"	"24,25"	"24,1985294118"	"24,1875"	"23,875"	"23,875"	"23,875"	"26,9375"	"26,9375"	"26,9375"	"28,0625"	"28,0625"	"28,0625"	"28,375"	"28,375"	"28,375"	"1"
"kirkdefault"	"20201016001_kirkdefault.r3d"	"-"	"20201016"	"Pose5e"	"7"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"139,2235041432"	"139,2235041432"	"139,2235041432"	"-72,5965806698"	"-72,5965806698"	"-72,5965806698"	"108,1429706297"	"108,1429706297"	"108,1429706297"	"-125,5189176997"	"-125,5189176997"	"-125,5189176997"	"-89,7262615491"	"-89,7262615491"	"-89,7262615491"	"-130,6848252714"	"-130,6848252714"	"-130,6848252714"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"240,0011371152"	"500,0001219286"	"240,0011371152"	"-255,5547772545"	"-255,5547772545"	"-255,5547772545"	"500,0001219286"	"500,0001219286"	"240,0011371152"	"23,8125"	"23,8125"	"23,8125"	"24,1875"	"24,1875"	"24,1875"	"23,875"	"23,875"	"23,875"	"27"	"26,9375"	"26,9901960784"	"28,0625"	"28,0625"	"28,0625"	"28,4215686275"	"28,4375"	"28,375"	"1"
"kirkdefault"	"20201016001_kirkdefault.r3d"	"-"	"20201016"	"Pose5e"	"8"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"133,8922032098"	"133,8922032098"	"133,8922032098"	"-68,3092235649"	"-68,3092235649"	"-68,3092235649"	"101,9630467747"	"101,9630467747"	"101,9630467747"	"-123,6263294086"	"-123,6263294086"	"-123,6263294086"	"-89,7178108183"	"-89,7178108183"	"-89,7178108183"	"-136,0155567166"	"-136,0155567166"	"-136,0155567166"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"240,0011371152"	"500,0001219285"	"240,0011371152"	"-327,7770446796"	"-327,7770446796"	"-327,7770446796"	"500,0001219285"	"500,0001219285"	"240,0011371152"	"23,8125"	"23,8125"	"23,8125"	"24,25"	"24,2218137255"	"24,1875"	"23,875"	"23,875"	"23,875"	"26,9375"	"26,9375"	"26,9375"	"28,0625"	"28,0625"	"28,0625"	"28,4375"	"28,4375"	"28,4375"	"1"
"kirkdefault"	"20201016001_kirkdefault.r3d"	"-"	"20201016"	"Pose5e"	"9"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"129,3398405916"	"129,3398405916"	"129,3398405916"	"-63,3109269491"	"-63,3109269491"	"-63,3109269491"	"94,3333009627"	"94,3333009627"	"94,3333009627"	"-120,9948546834"	"-120,9948546834"	"-120,9948546834"	"-89,708170092"	"-89,708170092"	"-89,708170092"	"-140,5687470792"	"-140,5687470792"	"-140,5687470792"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"240,0011371152"	"500,0001219286"	"240,0011371152"	"-399,9991643652"	"-399,9991643652"	"-399,9991643652"	"500,0001219286"	"500,0001219286"	"240,0011371152"	"23,7589285714"	"23,75"	"23,8125"	"24,25"	"24,2338435374"	"24,1875"	"23,875"	"23,875"	"23,875"	"26,9375"	"26,9375"	"26,9375"	"28,125"	"28,125"	"28,125"	"28,4028486395"	"28,4375"	"28,375"	"1"
