datagroup;dataset;subjectid;sessionid;scope type;scope;BASEXMax;BASEXMin;BASEXMean;BASEZMean;BASEYMax;BASEYMin;BASEYMean;BASEZMax;BASEZMin;BASEQ2Mean;BASEQ3Max;BASEQ0Mean;BASEQ0Min;BASEQ3Mean;BASEQ0Max;BASEQ3Min;BASEQ1Mean;BASEQ2Min;BASEQ2Max;BASEQ1Min;BASEQ1Max;DH_alpha1_SARAMax;DH_alpha1_SARAMin;DH_alpha1_SARAMean;DH_alpha2_SARAMean;DH_alpha2_SARAMax;DH_alpha2_SARAMin;DH_alpha3_SARAMax;DH_alpha3_SARAMin;DH_alpha3_SARAMean;DH_alpha4_SARAMax;DH_alpha4_SARAMin;DH_alpha4_SARAMean;DH_alpha5_SARAMean;DH_alpha5_SARAMin;DH_alpha5_SARAMax;DH_d1_SARAMean;DH_d1_SARAMin;DH_d1_SARAMax;DH_d4_SARAMax;DH_d4_SARAMin;DH_d4_SARAMean;DH_d5_SARAMax;DH_d5_SARAMean;DH_d5_SARAMin;DH_r1_SARAMin;DH_r1_SARAMean;DH_r1_SARAMax;DH_r2_SARAMin;DH_r2_SARAMean;DH_r2_SARAMax;DH_r3_SARAMean;DH_r3_SARAMax;DH_r3_SARAMin;DH_r4_SARAMean;DH_r4_SARAMax;DH_r4_SARAMin;DH_r5_SARAMin;DH_r5_SARAMax;DH_r5_SARAMean;Rot0Mean;Rot0Min;Rot0Max;Rot1Mean;Rot1Max;Rot1Min;Rot2Mean;Rot2Max;Rot2Min;Rot3Mean;Rot3Max;Rot3Min;Rot4Min;Rot4Mean;Rot4Max;Rot5Max;Rot5Min;Rot5Mean;TCPUR5eFitXMean;TCPUR5eFitZMean;TCPUR5eFitYMax;TCPUR5eFitZMax;TCPUR5eFitZMin;TCPUR5eFitXMax;TCPUR5eFitXMin;TCPUR5eFitYMean;TCPUR5eFitYMin;TCPPZMean;TCPPXMax;TCPPXMin;TCPPXMean;TCPPYMax;TCPPYMin;TCPPYMean;TCPPZMax;TCPPZMin;TCPQ2Mean;TCPQ1Max;TCPQ1Min;TCPQ0Mean;TCPQ2Min;TCPQ3Mean;TCPQ1Mean;TCPQ0Min;TCPQ2Max;TCPQ3Max;TCPQ0Max;TCPQ3Min;TCPUR5eXMax;TCPUR5eYMean;TCPUR5eXMin;TCPUR5eZMax;TCPUR5eZMin;TCPUR5eXMean;TCPUR5eZMean;TCPUR5eYMax;TCPUR5eYMin;TCPUR5ePXMax;TCPUR5ePZMean;TCPUR5ePYMean;TCPUR5ePZMin;TCPUR5ePZMax;TCPUR5ePYMin;TCPUR5ePYMax;TCPUR5ePXMean;TCPUR5ePXMin;TargetAngle0Max;TargetAngle0Mean;TargetAngle0Min;TargetAngle1Max;TargetAngle1Min;TargetAngle1Mean;TargetAngle2Mean;TargetAngle2Max;TargetAngle2Min;TargetAngle3Max;TargetAngle3Min;TargetAngle3Mean;TargetAngle4Max;TargetAngle4Min;TargetAngle4Mean;TargetAngle5Max;TargetAngle5Mean;TargetAngle5Min;TargetTCPUR5ePXMean;TargetTCPUR5ePYMean;TargetTCPUR5ePZMax;TargetTCPUR5ePZMean;TargetTCPUR5ePZMin;TargetTCPUR5ePYMax;TargetTCPUR5ePYMin;TargetTCPUR5ePXMax;TargetTCPUR5ePXMin;Temperature0Min;Temperature0Max;Temperature0Mean;Temperature1Max;Temperature1Mean;Temperature1Min;Temperature2Min;Temperature2Mean;Temperature2Max;Temperature3Min;Temperature3Max;Temperature3Mean;Temperature4Min;Temperature4Max;Temperature4Mean;Temperature5Mean;Temperature5Max;Temperature5Min;TRIAL_INFO/PAYLOAD;TRIAL_INFO/cycle_nr;x diff;y diff;z diff
kirkdefault;20210212G002_kirkdefaultrpsv3d;-;20210212G;Pose5e;0;312.7835416;312.7268783;312.7568003;246.4989913;85.88956597;85.81239914;85.85217223;246.5033556;246.4931208;0.09983329;-0.62007675;0.76333959;0.76329622;-0.62013618;0.76339614;-0.62019207;0.63823662;0.09973796;0.099958;0.63817668;0.63829229;89.7704353;89.7570504;89.76341253;179.5397037;179.544257;179.5338439;0.98324039;0.97357125;0.97795405;0.98324039;0.97357125;0.97795405;90.3850397;90.38037731;90.3885652;164.7670336;164.7615748;164.7711605;136.4521536;136.3364163;136.3933416;102.0874652;102.080504;102.0713382;0.35708829;0.37911292;0.40553133;-426.6416715;-426.6324275;-426.6241215;-391.8113956;-391.788365;-391.8290909;2.54894681;2.55935969;2.53745544;0.07169761;0.08899036;0.0789346;40.36153916;40.35846242;40.3637047;-103.3482343;-103.3438096;-103.3513376;-105.0307602;-105.0292396;-105.0331027;-61.62072545;-61.61841762;-61.62313216;89.99827447;90.00071991;90.00250918;-49.63616313;-49.64127667;-49.63870894;502.1245008;291.4015256;252.5946594;291.4493238;291.3721962;502.1928631;502.0605999;252.5083883;252.4276819;128.4494626;557.873093;557.7073672;557.7872791;-411.2231305;-411.3569008;-411.28765;128.4971303;128.42027;0.01753898;0.99678469;0.99676305;-0.07830923;0.01739547;0.99682232;0.99677482;-0.07843317;0.01767576;0.99683509;-0.07815737;0.99681345;-1016.49;-260.9901144;-1016.65;-198.8743152;-198.9952702;-1016.58;-198.9539142;-260.9000454;-261.0956075;500.9569715;290.8628655;249.1887254;290.8240772;290.9080327;249.1528998;249.2158466;500.9453089;500.9290478;0.70442092;0.70442092;0.70442092;-1.8037858;-1.8037858;-1.8037858;-1.8331246;-1.8331246;-1.8331246;-1.075479;-1.075479;-1.075479;1.5707966;1.5707966;1.5707966;-0.86637545;-0.86637545;-0.86637545;500.9552804;249.1807239;290.8566672;290.8566672;290.8566672;249.1807239;249.1807239;500.9552804;500.9552804;30.5625;30.5625;30.5625;32.5625;32.51581633;32.5;32.6875;32.73418367;32.75;38;38;38;41.5625;41.5625;41.5625;42.94319728;43;42.9375;4485;2;1.17919186;3.31966287;0.5386601
kirkdefault;20210212G002_kirkdefaultrpsv3d;-;20210212G;Pose5e;1;312.2320931;312.1277622;312.1804034;246.5052219;85.63022134;85.55147557;85.59263272;246.5100236;246.5001006;0.08607596;-0.701138;0.68813085;0.68805605;-0.70120314;0.68821367;-0.70127762;0.72046294;0.08596619;0.0862413;0.72039045;0.72053697;89.92606675;89.91214797;89.91875223;179.6606998;179.6701133;179.6531793;0.91053682;0.90167211;0.90601078;0.91053682;0.90167211;0.90601078;90.30566976;90.29968455;90.30839744;164.7275981;164.7221753;164.7323143;136.3405351;136.1500631;136.2487485;101.8096396;101.7999364;101.7909377;0.04522682;0.06699713;0.08804609;-427.0868623;-427.0773094;-427.0641362;-392.3045745;-392.289674;-392.3191867;2.57151491;2.58199781;2.56082168;0.0583899;0.07294399;0.0669749;34.12026142;34.11701717;34.12346843;-99.73214306;-99.72978389;-99.73494933;-109.543788;-109.5423827;-109.5463023;-60.72531814;-60.72324654;-60.72858775;89.99609063;89.99990883;90.00361226;-55.87543166;-55.88123049;-55.87869613;500.8659599;291.2168923;180.0414711;291.2550506;291.1938798;500.932321;500.8002188;179.9092717;179.7645772;128.4768914;485.3099581;485.034543;485.1785058;-410.7567406;-410.8914105;-410.8239294;128.5148195;128.4540317;0.01872727;0.99664962;0.99662023;-0.079798;0.01851244;0.9966792;0.99663511;-0.07996542;0.01897947;0.99669386;-0.07960943;0.99666819;-1040.59;-312.1992226;-1040.77;-198.8648723;-198.9746487;-1040.68;-198.9158829;-312.0585956;-312.348756;500.8360208;290.8285628;176.9220596;290.7990314;290.8536514;176.8892074;176.9561139;500.821951;500.8096637;0.59553015;0.59553015;0.59553015;-1.7406464;-1.7406464;-1.7406464;-1.9118857;-1.9118857;-1.9118857;-1.0598569;-1.0598569;-1.0598569;1.5707964;1.5707964;1.5707964;-0.97526598;-0.97526598;-0.97526598;500.8209018;176.933689;290.8389289;290.8389289;290.8389289;176.933689;176.933689;500.8209018;500.8209018;30.5625;30.5625;30.5625;32.5625;32.5625;32.5625;32.6875;32.6875;32.6875;38;38;38;41.5;41.5625;41.54511054;42.9375;42.9375;42.9375;4485;2;0.04400893;2.98721213;0.38832955
kirkdefault;20210212G002_kirkdefaultrpsv3d;-;20210212G;Pose5e;2;311.5976045;311.5305171;311.5654048;246.302821;85.20221079;85.161751;85.18217632;246.3083839;246.2979003;0.06258017;-0.78020957;0.5966784;0.59661962;-0.78026452;0.59674298;-0.78031532;0.80003663;0.06245412;0.06267991;0.79998587;0.80008356;89.80550698;89.78921898;89.79802658;179.744257;179.7516461;179.7378349;0.76354616;0.7543861;0.75839745;0.76354616;0.7543861;0.75839745;90.4208621;90.40218306;90.4261688;164.5438976;164.5385998;164.5492371;135.9948333;135.9006958;135.9522453;101.4645133;101.4518485;101.4134378;0.00000261;0.01136192;0.02891719;-426.9618506;-426.9500656;-426.9407428;-392.2507993;-392.2330603;-392.2717366;1.75834853;1.76906313;1.73434411;0.47656463;0.50538511;0.49330913;27.04163956;27.03898468;27.04486101;-97.17757126;-97.17426497;-97.18204319;-112.5650873;-112.5625125;-112.5671456;-60.25735637;-60.25530026;-60.25942115;89.99611613;89.99953686;90.00218048;-62.95673592;-62.96071701;-62.95848936;499.5011903;290.9457141;107.5092262;290.972436;290.9099303;499.5352524;499.4638218;107.4215603;107.3310156;128.4175236;412.767022;412.5892449;412.6797153;-410.2143969;-410.2874709;-410.2527106;128.4441372;128.381966;0.01713572;0.99667722;0.99665355;-0.07980592;0.01701725;0.99668443;0.99666312;-0.07991217;0.01726089;0.99669692;-0.0796425;0.99667385;-1064.64;-363.2545953;-1064.77;-198.8217367;-198.8994943;-1064.71;-198.8625219;-363.1656267;-363.3302122;500.7119247;290.8250357;104.6734917;290.790294;290.8539545;104.6469277;104.7104129;500.6936506;500.6769185;0.47196126;0.47196126;0.47196126;-1.696054;-1.696054;-1.696054;-1.9646406;-1.9646406;-1.9646406;-1.0516944;-1.0516944;-1.0516944;1.5707966;1.5707966;1.5707966;-1.098835;-1.098835;-1.098835;500.6891967;104.6698807;290.827073;290.827073;290.827073;104.6698807;104.6698807;500.6891967;500.6891967;30.5625;30.5625;30.5625;32.5;32.5;32.5;32.75;32.75;32.75;38;38;38;41.5625;41.5625;41.5625;43;43;43;4485;2;-1.19246029;2.74806855;0.12067847
kirkdefault;20210212G002_kirkdefaultrpsv3d;-;20210212G;Pose5e;3;310.8685703;310.8236561;310.8511846;246.2591615;85.05294406;85.01480778;85.03409941;246.2621435;246.2557894;0.03749006;-0.85390499;0.48503126;0.48497748;-0.85395273;0.48510266;-0.8539908;0.87369283;0.03739203;0.03758608;0.87365189;0.8737241;89.83994754;89.82925166;89.83493436;179.7408104;179.7472268;179.7357231;0.66624749;0.65475126;0.66240908;0.66624749;0.65475126;0.66240908;90.45295845;90.34540834;90.47296911;164.538239;164.5350779;164.5413033;135.6239094;135.5316504;135.5796556;101.3611565;101.3164647;101.0648115;0.05519965;0.07727264;0.09807112;-426.9998914;-426.9864676;-426.9744428;-392.0264948;-392.0011604;-392.055417;1.42467365;1.45593027;1.25994557;0.56053689;0.76998314;0.74544516;19.241873;19.23892851;19.24373014;-95.86971019;-95.86682378;-95.87395382;-114.058951;-114.0557967;-114.0617822;-60.07128406;-60.06853671;-60.07375156;89.99710969;89.99961327;90.00114315;-70.75624459;-70.7606405;-70.75890672;498.3346515;290.8324992;34.90556342;290.8630578;290.8072892;498.3634981;498.3091917;34.85462471;34.80969559;128.5162145;340.1554259;340.0594218;340.1043364;-409.8552374;-409.909299;-409.8806804;128.5468053;128.4910765;0.01371594;0.99673876;0.99671891;-0.07965331;0.01360427;0.99664305;0.99672826;-0.07975358;0.01383307;0.99665051;-0.07953517;0.99663585;-1088.78;-414.5045477;-1088.86;-198.8102558;-198.8716359;-1088.82;-198.8389796;-414.457954;-414.5486504;500.5815148;290.8163336;32.39757878;290.7794672;290.8437079;32.36663689;32.41770998;500.5620751;500.5433321;0.33582282;0.33582282;0.33582282;-1.6732202;-1.6732202;-1.6732202;-1.9907146;-1.9907146;-1.9907146;-1.0484543;-1.0484543;-1.0484543;1.5707964;1.5707964;1.5707964;-1.2349734;-1.2349734;-1.2349734;500.555278;32.39026915;290.8212375;290.8212375;290.8212375;32.39026915;32.39026915;500.555278;500.555278;30.5625;30.5625;30.5625;32.5625;32.5625;32.5625;32.75;32.75;32.75;38;38;38;41.5625;41.5625;41.5625;43;43;43;4485;2;-2.22742358;2.45704593;0.01616562
kirkdefault;20210212G002_kirkdefaultrpsv3d;-;20210212G;Pose5e;4;310.0878013;310.0567512;310.0769176;246.2140904;84.98586371;84.94329814;84.9653371;246.2175328;246.2107992;0.00843106;-0.91394548;0.35898788;0.35892286;-0.9139916;0.35906409;-0.91402809;0.93330414;0.00833905;0.00857024;0.93327498;0.93332887;89.77022885;89.75572646;89.76107053;179.6531328;179.6574855;179.647497;0.77722742;0.76704448;0.77139531;0.77722742;0.76704448;0.77139531;90.2338186;90.22970845;90.2381854;164.4940154;164.4902073;164.4976149;136.0933329;136.0353285;136.0594044;101.0762297;101.0611868;101.0514041;0.11078066;0.13893535;0.16448811;-426.8369786;-426.8254505;-426.8178805;-392.0134796;-391.9955512;-392.027634;1.34466724;1.35741005;1.33354183;0.19114226;0.20426596;0.19769793;10.96833652;10.96618273;10.97122267;-95.92211908;-95.91996083;-95.92465545;-114.0001494;-113.9986166;-114.0018769;-60.07857175;-60.07599596;-60.08140274;89.99713269;90.00003181;90.00250918;-79.03114809;-79.03511233;-79.03298086;496.8988541;290.5254566;-37.61012844;290.545166;290.5050203;496.9256193;496.8726844;-37.66059498;-37.70159813;128.4211107;267.6277696;267.5361923;267.5771573;-409.2126347;-409.2654807;-409.2387162;128.4409092;128.4005475;0.02084291;0.9967904;0.99677365;-0.07738836;0.02071432;0.99689224;0.99678313;-0.07747964;0.02098646;0.99689787;-0.07731882;0.99688543;-1112.80;-465.5302563;-1112.85;-198.735752;-198.7882241;-1112.83;-198.7608626;-465.5003645;-465.5599108;500.4254429;290.8131361;-39.89298878;290.7854434;290.8375301;-39.91327543;-39.86491747;500.4137065;500.4003984;0.19141459;0.19141459;0.19141459;-1.6741462;-1.6741462;-1.6741462;-1.9896693;-1.9896693;-1.9896693;-1.0485735;-1.0485735;-1.0485735;1.5707964;1.5707964;1.5707964;-1.3793817;-1.3793817;-1.3793817;500.4136754;-39.90240585;290.8216109;290.8216109;290.8216109;-39.90240585;-39.90240585;500.4136754;500.4136754;30.5625;30.5625;30.5625;32.5625;32.5625;32.5625;32.6875;32.69953125;32.75;38;38;38;41.5625;41.5625;41.5625;43;43;43;4485;2;-3.51485235;2.2323938;-0.28767953
kirkdefault;20210212G002_kirkdefaultrpsv3d;-;20210212G;Pose5e;5;309.4316733;309.4054553;309.4215327;246.1468722;84.87992914;84.85242837;84.86653526;246.1504123;246.1431468;-0.02039459;-0.95692814;0.22115317;0.22109304;-0.95695802;0.22123234;-0.95699245;0.97502581;-0.0205912;-0.02026754;0.9750077;0.9750407;89.79471775;89.77653973;89.78722356;179.6134624;179.6202232;179.6068174;0.84934228;0.8392819;0.84411248;0.84934228;0.8392819;0.84411248;90.92634234;90.92218121;90.92949711;164.3997096;164.3954347;164.403474;136.4587824;136.3498693;136.413304;102.1818772;102.1733214;102.1649515;0.09851024;0.1152844;0.13709904;-426.9227529;-426.9086764;-426.8944978;-391.811501;-391.7904456;-391.8371373;2.37864962;2.38694627;2.37017548;0.72769596;0.74389547;0.73804401;2.55765402;2.55564983;2.56012318;-97.32958871;-97.32725301;-97.33136934;-112.3883044;-112.3860217;-112.3919171;-60.28258449;-60.27956565;-60.28498836;89.9981834;89.99984313;90.00171233;-87.44095966;-87.44514793;-87.44345198;495.5680007;290.2826757;-110.0688143;290.2990656;290.2637443;495.5894083;495.5389731;-110.1146115;-110.1654548;128.3900191;195.1583111;195.0614144;195.1125136;-408.672488;-408.7223527;-408.7010612;128.4063743;128.3709635;0.02128993;0.99657182;0.99655738;-0.08004261;0.02119912;0.99662545;0.99656405;-0.08012071;0.02138384;0.99663241;-0.07995757;0.99661977;-1136.83;-516.5850187;-1136.87;-198.6924628;-198.7270867;-1136.85;-198.7111655;-516.5553717;-516.6132365;500.2688664;290.829169;-112.1949929;290.7998282;290.8605969;-112.2141118;-112.1741973;500.2511778;500.2285859;0.04462051;0.04462051;0.04462051;-1.6987462;-1.6987462;-1.6987462;-1.9615245;-1.9615245;-1.9615245;-1.0521183;-1.0521183;-1.0521183;1.570796;1.570796;1.570796;-1.526176;-1.526176;-1.526176;500.2595724;-112.2037925;290.827667;290.827667;290.827667;-112.2037925;-112.2037925;500.2595724;500.2595724;30.625;30.625;30.625;32.5625;32.5625;32.5625;32.75;32.75;32.75;38;38.0625;38.02058333;41.5;41.5;41.5;42.9375;42.9375;42.9375;4485;2;-4.6831771;2.08038139;-0.54649324
kirkdefault;20210212G002_kirkdefaultrpsv3d;-;20210212G;Pose5e;6;308.6031861;308.5590984;308.581959;246.1352334;85.0621332;85.04229084;85.051658;246.1399871;246.1311909;-0.0478907;-0.97970794;0.08170863;0.08162842;-0.9797309;0.08177022;-0.97975671;0.99550499;-0.0479717;-0.04777092;0.99549787;0.99551149;89.7913103;89.78105567;89.78566875;179.6545042;179.6750323;179.6099705;0.91147823;0.85409993;0.870341;0.91147823;0.85409993;0.870341;90.88405567;90.87119666;90.90304963;164.3563073;164.3526132;164.3614071;137.0530273;136.8096361;136.9059996;102.5433523;102.5010495;102.4726408;0.46807471;0.48772578;0.50240192;-426.5231475;-426.50835;-426.480763;-391.8048018;-391.5139831;-391.9148636;2.55364949;2.56861014;2.53871964;0.66063776;0.75194974;0.71293818;-5.63965041;-5.64249122;-5.63796736;-99.97353398;-99.9705089;-99.97615519;-109.2493725;-109.2466997;-109.2521452;-60.77732919;-60.77386644;-60.77943987;89.99841107;89.99959625;90.00114315;-95.63797441;-95.64330196;-95.64060261;494.2344708;290.0393284;-182.6939657;290.0522363;290.0267047;494.2479351;494.2053017;-182.7495768;-182.8052208;128.3588893;122.5226022;122.4110901;122.4669018;-408.1339282;-408.1761756;-408.1627106;128.3717588;128.3463353;0.01889985;0.99656858;0.99654703;-0.08072804;0.01880648;0.99653857;0.99655696;-0.0808698;0.01904217;0.99654994;-0.08058658;0.9965287;-1160.92;-567.7677377;-1160.96;-198.6343598;-198.6771071;-1160.94;-198.6617748;-567.7330497;-567.7999017;500.0992532;290.8418978;-184.5029087;290.8123329;290.8739207;-184.5260172;-184.4868522;500.0846066;500.0659391;-0.09844208;-0.09844208;-0.09844208;-1.744885;-1.744885;-1.744885;-1.9067464;-1.9067464;-1.9067464;-1.0607576;-1.0607576;-1.0607576;1.5707948;1.5707948;1.5707948;-1.6692381;-1.6692381;-1.6692381;500.089747;-184.5088968;290.840044;290.840044;290.840044;-184.5088968;-184.5088968;500.089747;500.089747;30.5625;30.5625;30.5625;32.5625;32.5625;32.5625;32.75;32.75;32.75;38;38;38;41.5;41.5625;41.51392432;42.9375;42.9375;42.9375;4485;2;-5.85013579;1.75333193;-0.80256943
kirkdefault;20210212G002_kirkdefaultrpsv3d;-;20210212G;Pose5e;7;307.8488412;307.7914132;307.8218409;246.1707688;85.32242779;85.31200924;85.31768808;246.1750936;246.1648578;-0.07167116;-0.98178987;-0.04923294;-0.04929944;-0.98181235;-0.0491446;-0.9818339;0.99621251;-0.0718275;-0.0715461;0.99619872;0.99622231;89.83607105;89.82065965;89.82912177;179.6292171;179.6344723;179.6233075;0.86022284;0.8397528;0.84923754;0.86022284;0.8397528;0.84923754;90.78272936;90.75807128;90.7959761;164.7342972;164.7287596;164.7381669;138.0557259;137.8342894;137.9205158;101.9076547;101.796126;101.6315508;0.42531366;0.4412701;0.45379122;-426.2967291;-426.2866979;-426.2783218;-391.5870043;-391.5420149;-391.632073;1.9071356;1.94670826;1.84227474;0.28986679;0.48902775;0.36848777;-13.33855075;-13.34016905;-13.33675396;-103.6651182;-103.6633736;-103.667482;-104.6228885;-104.6209354;-104.6248869;-61.7118955;-61.70919391;-61.71382911;89.99736605;89.99955754;90.00182616;-103.3370966;-103.3415922;-103.338978;493.0746209;290.0395226;-255.2614909;290.0598254;290.0227195;493.1013147;493.0427971;-255.323023;-255.387221;128.5710032;49.94729379;49.82110129;49.88541665;-407.7663453;-407.8235444;-407.7975133;128.5911532;128.5543332;0.01506606;0.99667882;0.99664997;-0.08014526;0.01491205;0.99661854;0.99666932;-0.08033655;0.01532542;0.99662971;-0.08002912;0.99659882;-1184.97;-619.0267693;-1185.00;-198.5487548;-198.580392;-1184.99;-198.5630265;-618.9919962;-619.067893;499.9149186;290.863316;-256.8081603;290.8343013;290.8868439;-256.8234285;-256.7905123;499.902252;499.890782;-0.2328105;-0.2328105;-0.2328105;-1.8093095;-1.8093095;-1.8093095;-1.8260121;-1.8260121;-1.8260121;-1.0770674;-1.0770674;-1.0770674;1.570797;1.570797;1.570797;-1.8036065;-1.8036065;-1.8036065;499.902948;-256.8124463;290.8584639;290.8584639;290.8584639;-256.8124463;-256.8124463;499.902948;499.902948;30.625;30.625;30.625;32.5625;32.5625;32.5625;32.6875;32.6875;32.6875;38;38;38;41.5;41.5;41.5;42.9375;42.9375;42.9375;4485;2;-6.82763113;1.48513724;-0.82379338
kirkdefault;20210212G002_kirkdefaultrpsv3d;-;20210212G;Pose5e;8;307.2347458;307.1452239;307.1904486;246.202515;85.64252864;85.60913448;85.62630464;246.2075003;246.1981729;-0.09209606;-0.96852612;-0.16916715;-0.16927375;-0.96855865;-0.16904861;-0.96858577;0.98127508;-0.09222775;-0.09201421;0.98125095;0.98129971;89.87524539;89.86439398;89.87005652;179.6394725;179.6463737;179.6338546;0.84558742;0.83935097;0.84234445;0.84558742;0.83935097;0.84234445;90.93095607;90.92777588;90.93362719;164.5785512;164.574162;164.5836373;137.3039591;137.1342143;137.208792;102.3953752;102.3855198;102.3736447;0.51101708;0.52655538;0.53896543;-426.1512545;-426.1407591;-426.1305649;-391.3189242;-391.3006404;-391.3312967;2.35362827;2.35970211;2.34555017;0.24275429;0.26992301;0.25693986;-20.36338259;-20.36606955;-20.36032741;-108.2223899;-108.2196926;-108.2243929;-98.53614833;-98.53397553;-98.53812829;-63.24117963;-63.23872598;-63.24433619;89.99772805;89.99949923;90.00233843;-110.3611211;-110.365507;-110.3637409;491.7652567;289.9053443;-327.7051551;289.9497791;289.872088;491.8258432;491.6924258;-327.8158887;-327.9400354;128.6486121;-22.50658621;-22.74196239;-22.61752167;-407.2101226;-407.3413708;-407.2818417;128.6930531;128.6151594;0.01980718;0.9965848;0.9965316;-0.08048981;0.01954748;0.99659503;0.9965586;-0.08077056;0.02009049;0.99661326;-0.08022561;0.9965771;-1208.96;-670.1241327;-1208.99;-198.4063539;-198.489561;-1208.98;-198.4523248;-670.063144;-670.1881761;499.7175929;290.8886607;-329.1065665;290.86183;290.9347905;-329.1334337;-329.0805374;499.6921043;499.6700274;-0.35541058;-0.35541058;-0.35541058;-1.8888612;-1.8888612;-1.8888612;-1.7197633;-1.7197633;-1.7197633;-1.1037645;-1.1037645;-1.1037645;1.5707954;1.5707954;1.5707954;-1.9262066;-1.9262066;-1.9262066;499.6993067;-329.109712;290.8823715;290.8823715;290.8823715;-329.109712;-329.109712;499.6993067;499.6993067;30.625;30.625;30.625;32.5625;32.5259375;32.5;32.75;32.75;32.75;38;38;38;41.5;41.5;41.5;43;43;43;4485;2;-7.92684757;1.29067783;-0.98331634
kirkdefault;20210212G002_kirkdefaultrpsv3d;-;20210212G;Pose5e;9;306.6738604;306.6086542;306.6417073;246.1964968;85.90288938;85.87553135;85.89005444;246.2008602;246.1925772;-0.10869547;-0.9439507;-0.27527786;-0.27541467;-0.94399052;-0.27520207;-0.94401451;0.95520018;-0.10884406;-0.1085892;0.95516181;0.95522533;89.95356299;89.93902995;89.94674446;179.8097349;179.8175324;179.8029419;0.724646;0.71745245;0.72160401;0.724646;0.71745245;0.72160401;91.08788609;91.08356723;91.0913729;164.8333562;164.8294681;164.838021;137.0319018;136.9487423;136.9897647;102.6486712;102.6191535;102.595531;0.64785598;0.66063925;0.67263498;-426.1479126;-426.1326858;-426.1223875;-392.528743;-392.5103532;-392.5507608;2.60138542;2.60993338;2.59064225;0.0969389;0.17050305;0.12697887;-26.64328973;-26.64529559;-26.64090151;-113.5274954;-113.5258162;-113.5309188;-90.96057907;-90.9583805;-90.96250138;-65.51256472;-65.51049107;-65.51438655;89.99707577;89.99960948;90.00120006;-116.6414527;-116.6462147;-116.64356;490.3989914;289.5912727;-400.2426515;289.6277881;289.5535046;490.4582164;490.3504052;-400.3357438;-400.4206174;128.5464456;-95.05514503;-95.23385391;-95.14859535;-406.6612314;-406.7681455;-406.7094517;128.5831353;128.5087298;0.02129993;0.99645897;0.99642444;-0.08153173;0.02113879;0.99650638;0.99644311;-0.08171197;0.02148237;0.99651869;-0.08136191;0.9964899;-1233.03;-721.2016198;-1233.06;-198.3865795;-198.4740434;-1233.05;-198.4284859;-721.1628063;-721.2432229;499.4980578;290.9117112;-401.3919034;290.8819811;290.9396409;-401.410152;-401.3687555;499.4776663;499.4606631;-0.46501827;-0.46501827;-0.46501827;-1.9814372;-1.9814372;-1.9814372;-1.5875516;-1.5875516;-1.5875516;-1.1434002;-1.1434002;-1.1434002;1.5707942;1.5707942;1.5707942;-2.0358148;-2.0358148;-2.0358148;499.4809895;-401.3960956;290.9118144;290.9118144;290.9118144;-401.3960956;-401.3960956;499.4809895;499.4809895;30.625;30.625;30.625;32.5625;32.5625;32.5625;32.75;32.75;32.75;38;38;38;41.5625;41.5625;41.5625;42.9375;42.9375;42.9375;4485;2;-9.07867485;1.05615952;-1.3204385
