"datagroup"	"dataset"	"subjectid"	"sessionid"	"scope type"	"scope"	"BASEYMax"	"BASEYMin"	"BASEXMax"	"BASEXMin"	"BASEYMean"	"BASEXMean"	"BASEZMean"	"BASEZMax"	"BASEZMin"	"BASEQ2Mean"	"BASEQ3Max"	"BASEQ0Mean"	"BASEQ1Mean"	"BASEQ2Min"	"BASEQ2Max"	"BASEQ1Min"	"BASEQ1Max"	"BASEQ0Min"	"BASEQ3Mean"	"BASEQ0Max"	"BASEQ3Min"	"Rot0Mean"	"Rot0Min"	"Rot0Max"	"Rot1Mean"	"Rot1Max"	"Rot1Min"	"Rot2Mean"	"Rot2Min"	"Rot2Max"	"Rot3Max"	"Rot3Mean"	"Rot3Min"	"Rot4Min"	"Rot4Max"	"Rot4Mean"	"Rot5Max"	"Rot5Min"	"Rot5Mean"	"TCPUR5eFitXMean"	"TCPUR5eFitXMax"	"TCPUR5eFitZMean"	"TCPUR5eFitXMin"	"TCPUR5eFitYMean"	"TCPUR5eFitYMax"	"TCPUR5eFitYMin"	"TCPUR5eFitZMax"	"TCPUR5eFitZMin"	"TCPPZMean"	"TCPPYMean"	"TCPPXMax"	"TCPPXMin"	"TCPPXMean"	"TCPPYMax"	"TCPPYMin"	"TCPPZMax"	"TCPPZMin"	"TCPQ1Mean"	"TCPQ0Min"	"TCPQ2Mean"	"TCPQ1Max"	"TCPQ1Min"	"TCPQ0Mean"	"TCPQ2Max"	"TCPQ2Min"	"TCPQ3Max"	"TCPQ3Mean"	"TCPQ0Max"	"TCPQ3Min"	"TCPUR5eXMax"	"TCPUR5eYMean"	"TCPUR5eXMin"	"TCPUR5eZMean"	"TCPUR5eZMax"	"TCPUR5eZMin"	"TCPUR5eYMax"	"TCPUR5eYMin"	"TCPUR5eXMean"	"TCPUR5ePZMax"	"TCPUR5ePXMax"	"TCPUR5ePZMean"	"TCPUR5ePYMean"	"TCPUR5ePYMin"	"TCPUR5ePYMax"	"TCPUR5ePXMean"	"TCPUR5ePXMin"	"TCPUR5ePZMin"	"Temperature0Mean"	"Temperature0Min"	"Temperature0Max"	"Temperature1Max"	"Temperature1Mean"	"Temperature1Min"	"Temperature2Min"	"Temperature2Mean"	"Temperature2Max"	"Temperature3Max"	"Temperature3Min"	"Temperature3Mean"	"Temperature4Min"	"Temperature4Max"	"Temperature4Mean"	"Temperature5Mean"	"Temperature5Max"	"Temperature5Min"	"TRIAL_INFO/cycle_nr"
"kirkdefault"	"20201021001_kirkdefault.r3d"	"-"	"20201021"	"Pose5e"	"0"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"192.7982113974"	"192.7982113974"	"192.7982113974"	"-72.8942391134"	"-72.8942391134"	"-72.8942391134"	"108.5586998394"	"108.5586998394"	"108.5586998394"	"-125.6372763956"	"-125.6372763956"	"-125.6372763956"	"-89.7266562563"	"-89.7266562563"	"-89.7266562563"	"-77.1102002114"	"-77.1102002114"	"-77.1102002114"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"240.0011421209"	"500.0001179764"	"240.0011421209"	"250.0007791495"	"250.0007791495"	"250.0007791495"	"500.0001179764"	"500.0001179764"	"240.0011421209"	"27.1875"	"27.1875"	"27.1875"	"28"	"28"	"28"	"27.75"	"27.7904411765"	"27.8125"	"32.625"	"32.625"	"32.625"	"35.25"	"35.25"	"35.25"	"36.3492647059"	"36.375"	"36.3125"	"1"
"kirkdefault"	"20201021001_kirkdefault.r3d"	"-"	"20201021"	"Pose5e"	"1"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"185.0579495184"	"185.0579495184"	"185.0579495184"	"-76.2926918398"	"-76.2926918398"	"-76.2926918398"	"113.1739601838"	"113.1739601838"	"113.1739601838"	"-126.8540331553"	"-126.8540331553"	"-126.8540331553"	"-89.7333382872"	"-89.7333382872"	"-89.7333382872"	"-84.8518286209"	"-84.8518286209"	"-84.8518286209"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"240.0011371152"	"500.0001219285"	"240.0011371152"	"177.7785678327"	"177.7785678327"	"177.7785678327"	"500.0001219285"	"500.0001219285"	"240.0011371152"	"27.1875"	"27.1875"	"27.1875"	"28"	"28"	"28"	"27.8125"	"27.8125"	"27.8125"	"32.625"	"32.625"	"32.625"	"35.25"	"35.3125"	"35.2912581699"	"36.3125"	"36.3125"	"36.3125"	"1"
"kirkdefault"	"20201021001_kirkdefault.r3d"	"-"	"20201021"	"Pose5e"	"2"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"176.8364065245"	"176.8364065245"	"176.8364065245"	"-78.6919084409"	"-78.6919084409"	"-78.6919084409"	"116.282677116"	"116.282677116"	"116.282677116"	"-127.5634795606"	"-127.5634795606"	"-127.5634795606"	"-89.737972652"	"-89.737972652"	"-89.737972652"	"-93.074790292"	"-93.074790292"	"-93.074790292"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"240.0011371152"	"500.0001219285"	"240.0011371152"	"105.5563422935"	"105.5563422935"	"105.5563422935"	"500.0001219285"	"500.0001219285"	"240.0011371152"	"27.1875"	"27.1875"	"27.1875"	"28"	"28"	"28"	"27.8125"	"27.8125"	"27.8125"	"32.625"	"32.625"	"32.625"	"35.25"	"35.25"	"35.25"	"36.3527369281"	"36.375"	"36.3125"	"1"
"kirkdefault"	"20201021001_kirkdefault.r3d"	"-"	"20201021"	"Pose5e"	"3"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"168.4249549651"	"168.4249549651"	"168.4249549651"	"-79.920511422"	"-79.920511422"	"-79.920511422"	"117.8248537825"	"117.8248537825"	"117.8248537825"	"-127.8770016576"	"-127.8770016576"	"-127.8770016576"	"-89.740319191"	"-89.740319191"	"-89.740319191"	"-101.4871138542"	"-101.4871138542"	"-101.4871138542"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"240.0011371152"	"500.0001219285"	"240.0011371152"	"33.3340657325"	"33.3340657325"	"33.3340657325"	"500.0001219285"	"500.0001219285"	"240.0011371152"	"27.1875"	"27.1875"	"27.1875"	"28.0625"	"28.0183333333"	"28"	"27.8125"	"27.8125"	"27.8125"	"32.625"	"32.5625"	"32.6004166667"	"35.25"	"35.25"	"35.25"	"36.375"	"36.375"	"36.375"	"1"
"kirkdefault"	"20201021001_kirkdefault.r3d"	"-"	"20201021"	"Pose5e"	"4"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"160.1760604392"	"160.1760604392"	"160.1760604392"	"-79.8706449351"	"-79.8706449351"	"-79.8706449351"	"117.7629120495"	"117.7629120495"	"117.7629120495"	"-127.8648815007"	"-127.8648815007"	"-127.8648815007"	"-89.740257985"	"-89.740257985"	"-89.740257985"	"-109.7359713253"	"-109.7359713253"	"-109.7359713253"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"240.0011371152"	"500.0001219286"	"240.0011371152"	"-38.8880813067"	"-38.8880813067"	"-38.8880813067"	"500.0001219286"	"500.0001219286"	"240.0011371152"	"27.1875"	"27.1875"	"27.1875"	"28"	"28"	"28"	"27.8125"	"27.8125"	"27.8125"	"32.625"	"32.625"	"32.625"	"35.25"	"35.25"	"35.25"	"36.375"	"36.375"	"36.375"	"1"
"kirkdefault"	"20201021001_kirkdefault.r3d"	"-"	"20201021"	"Pose5e"	"5"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"152.4222399291"	"152.4222399291"	"152.4222399291"	"-78.5469776509"	"-78.5469776509"	"-78.5469776509"	"116.0984654085"	"116.0984654085"	"116.0984654085"	"-127.5240660196"	"-127.5240660196"	"-127.5240660196"	"-89.7377910665"	"-89.7377910665"	"-89.7377910665"	"-117.4888612663"	"-117.4888612663"	"-117.4888612663"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"240.0011371152"	"500.0001219285"	"240.0011371152"	"-111.1103382577"	"-111.1103382577"	"-111.1103382577"	"500.0001219285"	"500.0001219285"	"240.0011371152"	"27.1875"	"27.1875"	"27.1875"	"28.0625"	"28.0179738562"	"28"	"27.8125"	"27.8125"	"27.8125"	"32.625"	"32.5625"	"32.6172385621"	"35.25"	"35.3125"	"35.2577614379"	"36.375"	"36.375"	"36.375"	"1"
"kirkdefault"	"20201021001_kirkdefault.r3d"	"-"	"20201021"	"Pose5e"	"6"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"145.400920835"	"145.400920835"	"145.400920835"	"-76.0644682841"	"-76.0644682841"	"-76.0644682841"	"112.8716142523"	"112.8716142523"	"112.8716142523"	"-126.7796963007"	"-126.7796963007"	"-126.7796963007"	"-89.7330432719"	"-89.7330432719"	"-89.7330432719"	"-124.5087431382"	"-124.5087431382"	"-124.5087431382"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"240.0011371152"	"500.0001219285"	"240.0011371152"	"-183.332555444"	"-183.332555444"	"-183.332555444"	"500.0001219285"	"500.0001219285"	"240.0011371152"	"27.1875"	"27.1875"	"27.1875"	"28.0625"	"28.0367647059"	"28"	"27.8125"	"27.8125"	"27.8125"	"32.625"	"32.625"	"32.625"	"35.25"	"35.3125"	"35.2953431373"	"36.375"	"36.375"	"36.375"	"1"
"kirkdefault"	"20201021001_kirkdefault.r3d"	"-"	"20201021"	"Pose5e"	"7"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"139.2235041429"	"139.2235041429"	"139.2235041429"	"-72.5965806697"	"-72.5965806697"	"-72.5965806697"	"108.1429706284"	"108.1429706284"	"108.1429706284"	"-125.518917695"	"-125.518917695"	"-125.518917695"	"-89.7262615475"	"-89.7262615475"	"-89.7262615475"	"-130.684825271"	"-130.684825271"	"-130.684825271"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"240.0011371152"	"500.0001219285"	"240.0011371152"	"-255.5547772545"	"-255.5547772545"	"-255.5547772545"	"500.0001219285"	"500.0001219285"	"240.0011371152"	"27.25"	"27.25"	"27.25"	"28"	"28"	"28"	"27.75"	"27.75"	"27.75"	"32.625"	"32.625"	"32.625"	"35.25"	"35.25"	"35.25"	"36.375"	"36.375"	"36.375"	"1"
"kirkdefault"	"20201021001_kirkdefault.r3d"	"-"	"20201021"	"Pose5e"	"8"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"133.8922032096"	"133.8922032096"	"133.8922032096"	"-68.3092235647"	"-68.3092235647"	"-68.3092235647"	"101.9630467736"	"101.9630467736"	"101.9630467736"	"-123.626329405"	"-123.626329405"	"-123.626329405"	"-89.7178108174"	"-89.7178108174"	"-89.7178108174"	"-136.0155567162"	"-136.0155567162"	"-136.0155567162"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"240.0011371152"	"500.0001219285"	"240.0011371152"	"-327.7770446796"	"-327.7770446796"	"-327.7770446796"	"500.0001219285"	"500.0001219285"	"240.0011371152"	"27.25"	"27.25"	"27.25"	"28"	"28"	"28"	"27.75"	"27.7764756944"	"27.8125"	"32.625"	"32.625"	"32.625"	"35.3125"	"35.3125"	"35.3125"	"36.375"	"36.375"	"36.375"	"1"
"kirkdefault"	"20201021001_kirkdefault.r3d"	"-"	"20201021"	"Pose5e"	"9"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"129.3398405915"	"129.3398405915"	"129.3398405915"	"-63.3109269489"	"-63.3109269489"	"-63.3109269489"	"94.3333009614"	"94.3333009614"	"94.3333009614"	"-120.9948546792"	"-120.9948546792"	"-120.9948546792"	"-89.7081700912"	"-89.7081700912"	"-89.7081700912"	"-140.5687470787"	"-140.5687470787"	"-140.5687470787"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"240.0011371152"	"500.0001219286"	"240.0011371152"	"-399.9991643652"	"-399.9991643652"	"-399.9991643652"	"500.0001219286"	"500.0001219286"	"240.0011371152"	"27.25"	"27.25"	"27.25"	"28.0625"	"28.0505319149"	"28"	"27.8125"	"27.8125"	"27.8125"	"32.625"	"32.625"	"32.625"	"35.3125"	"35.3125"	"35.3125"	"36.375"	"36.375"	"36.375"	"1"
